41051,398,494,850,1307,759,379,141,71,42,53
38131,6,,,9,4,9,2,5,2,41
17163,4,3,6,18,23,40,16,11,17,21
4101,16,4,20,34,28,27,8,1,3,4
38262,2471,172,271,343,394,343,102,56,61,512
42965,59,89,160,132,40,13,5,4,7,7
36036,10,4,3,7,4,7,3,4,,4
30066,7,4,13,39,48,30,5,5,4,
49854,1151,1001,2642,5573,4773,2125,707,326,205,132
26159,5,,4,9,8,14,8,4,4,8
32667,1354,964,1887,2317,1386,813,368,206,130,157
4473,995,1057,2220,3248,2474,1508,672,337,221,177
32876,5,,1,4,8,10,3,2,1,10
22993,5,4,2,11,5,9,4,3,1,3
33712,363,192,426,892,1285,1331,692,429,296,300
944,500,949,1963,2162,1139,553,191,56,26,24
2333,134,151,311,423,246,136,42,21,8,8
3920,23,16,24,58,86,80,47,21,16,21
47005,7,4,4,21,16,14,6,1,1,3
2561,191,174,346,513,329,170,65,21,9,16
16562,4,1,3,6,5,20,14,7,3,8
5272,19,6,20,44,42,47,23,16,7,8
37561,394,543,1505,2835,2568,1671,866,378,191,167
5054,121,82,176,296,231,168,62,33,18,35
10766,227,91,162,365,516,429,179,103,44,50
13599,4241,9553,19615,21012,9903,4523,1931,668,276,190
41505,5,1,4,24,43,44,24,11,10,16
49762,143,106,217,321,209,106,45,17,10,10
13085,5,1,13,15,42,40,36,19,23,10
38470,659,635,1041,1187,697,366,199,123,76,98
769,100,204,583,1191,1054,637,235,112,48,25
42121,6,2,14,23,45,25,11,7,4,4
36516,2322,2407,5609,10335,10673,7695,4847,2477,1303,844
1009,43,24,63,168,270,316,266,237,140,94
48909,1,1,,1,,,,,,4
38919,3,,1,5,6,4,1,1,2,3
41109,3083,4709,13155,21715,11101,4267,1758,559,228,171
31662,4,,3,2,13,23,23,10,4,13
36491,420,424,942,1179,506,239,92,39,28,109
17497,108,65,105,214,142,91,46,14,11,9
5584,29,28,72,135,181,121,41,25,13,10
35627,6,1,1,4,4,11,6,2,4,3
40737,3,,3,5,13,15,16,12,10,7
36544,34,23,60,160,157,65,27,18,4,11
6666,113,150,254,405,361,270,104,48,29,22
34678,36,25,51,128,210,158,49,25,16,29
36862,35477,50372,34444,11259,3201,1048,519,263,169,331
6431,11,6,11,50,93,132,83,49,43,46
41807,3,,5,15,8,23,13,8,14,16
1790,31,24,45,144,177,160,60,34,24,19
38764,6,,3,5,10,21,28,18,15,22
34835,60,44,78,167,111,62,17,6,3,11
