anime_id,watching,completed,on-hold,dropped,plan to watch,total
2395,276,1545,147,160,1030,3158
2452,237,4781,134,99,3597,8848
1031,56,1520,33,69,857,2535
9383,20,124,12,67,178,401
38121,5,94,1,61,46,207
36124,12683,63981,4829,13150,36323,130966
12907,129,2382,52,103,851,3517
3005,174,2806,88,94,2187,5349
23971,11,98,14,91,104,318
2782,297,7187,183,218,4185,12070
33513,1804,59333,1250,930,30425,93742
38735,4796,63028,2533,7225,31764,109346
28285,2262,101910,747,451,19341,124711
37915,81,260,37,71,1182,1631
675,141,1511,123,168,1524,3467
32886,133,1456,83,115,1467,3254
3574,824,13508,580,445,10108,25465
2518,167,1571,233,151,838,2960
9689,115,341,102,229,724,1511
7619,180,1194,214,301,1324,3213
26221,8,32,3,43,41,127
50203,0,0,0,0,8316,8316
49423,1,0,0,0,694,695
43602,1,69,2,9,16,97
3022,43,397,55,97,386,978
3640,52,781,31,61,608,1533
36673,10,106,1,19,39,175
36683,786,8881,325,335,8441,18768
35928,17213,115099,6040,16178,71232,225762
40009,28,129,17,46,197,417
34475,131,1062,58,90,1231,2572
3456,420,23212,211,200,5608,29651
20,182917,1932815,79703,116884,92044,2404363
12359,16,187,19,78,117,417
10419,1194,6639,592,368,3229,12022
6571,49,273,57,108,661,1148
29455,6,282,1,37,42,368
35821,7593,53339,3489,6312,33507,104240
33034,627,12310,301,163,8829,22230
28573,7,28,1,45,37,118
33173,271,3816,184,79,2090,6440
1215,362,15921,323,256,4568,21430
36858,170,733,86,108,3633,4730
43489,4,45,1,13,22,85
24843,7,231,3,35,53,329
24109,11,545,6,23,101,686
39677,19,39,4,43,198,303
35823,1242,62717,389,169,11130,75647
572,3751,257830,1792,931,56958,321262
632,115,4307,103,124,1667,6316
11873,18,363,20,89,145,635
20093,21,121,7,58,106,313
36672,9,198,3,19,50,279
2249,124,2870,79,109,1875,5057
3467,4662,84054,2948,3951,30298,125913
4490,98,872,64,86,500,1620
27577,11,94,15,96,110,326
29687,64,312,34,162,569,1141
40137,460,1603,197,999,2849,6108
34019,12911,86313,5138,9695,52307,166364
712,615,8574,630,670,4221,14710
37263,21,51,13,72,166,323
31741,17863,310517,8344,6878,78734,422336
551,2562,47080,984,841,10731,62198
49995,1,50,0,3,9,63
8630,13636,243272,7633,12355,67407,344303
31919,60,987,35,75,742,1899
33044,67,102,30,198,289,686
36811,7,113,1,23,37,181
2419,134,2233,75,71,2163,4676
34790,16,55,3,37,65,176
3628,162,899,93,105,581,1840
39794,1936,7,664,311,1011,3929
23125,14,47,4,52,78,195
2727,122,1153,109,252,1161,2797
49936,8,52,7,12,115,194
28297,51668,320182,34365,34084,138881,579180
28749,24,60,12,52,232,380
26153,8,48,5,45,75,181
33219,446,3826,273,171,10413,15129
6379,194,4788,124,88,2983,8177
247,1514,8916,1272,1334,9427,22463
613,426,2178,380,474,2225,5683
20117,22,222,12,80,118,454
48548,2,1,11,0,88994,89008
8141,26,256,13,58,230,583
39378,2,13,2,29,39,85
48544,23,0,9,30,53,115
40840,2,87,2,9,25,125
749,63,603,48,122,400,1236
34223,167,804,96,992,1055,3114
28117,11,70,9,54,119,263
840,768,9323,608,685,6166,17550
23047,833,4504,434,350,2344,8465
2833,31,686,21,78,515,1331
25341,861,9957,892,284,3420,15414
35295,16,49,8,85,65,223
25101,9,101,2,42,47,201
49569,310,0,22,21,380,733
34589,118,718,79,74,1961,2950
49199,44,106,17,21,276,464
30051,10,70,4,50,71,205
32887,19492,254289,8702,16317,85788,384588
19995,19,96,13,101,146,375
37096,196,0,47,154,787,1184
3705,190,1162,97,133,725,2307
33654,8625,90539,3064,5520,33557,141305
2112,1501,24951,1225,1600,12485,41762
10691,79,4515,25,38,780,5437
3421,142,3352,85,91,2042,5712
38012,17,202,15,34,580,848
4651,256,956,223,232,1624,3291
4851,100,2702,87,84,1936,4909
218,2615,21962,2332,1888,19294,48091
3785,4646,279818,2043,808,75983,363298
35343,815,2059,306,229,1296,4705
44212,0,0,0,0,1260,1260
3675,68,774,28,67,820,1757
39584,506,3737,173,294,12225,16935
41286,306,748,98,148,1369,2669
8890,68,222,38,73,806,1207
40598,3,158,3,8,25,197
37450,86828,1054507,26944,27489,199209,1394977
30131,13,74,9,86,86,268
232,27234,239138,23798,15995,78113,384278
5233,748,20301,689,483,7854,30075
18227,44,110,22,110,207,493
3912,111,731,60,94,474,1470
34658,1976,47632,662,656,22482,73408
32408,17,132,6,44,80,279
33145,81,1137,74,111,1294,2697
695,186,4176,148,181,2473,7164
38403,127,55,34,68,915,1199
26235,6,56,3,40,41,146
33398,159,0,36,231,752,1178
9958,623,24014,424,314,9540,34915
37347,38692,489317,10007,11922,114103,664041
1778,194,1650,153,198,1480,3675
11067,832,4746,451,345,2455,8829
50854,1,0,0,0,596,597
245,54887,389634,39162,21288,197289,702260
2972,65,990,36,57,1006,2154
6855,31,483,14,54,334,916
35909,61,236,38,76,493,904
37422,294,2947,122,193,2286,5842
49967,0,4,0,12,14,30
41093,2117,4362,451,743,5880,13553
42380,12,388,12,14,85,511
21831,11,530,5,46,99,691
39406,5,11,2,29,26,73
22845,13,45,4,49,48,159
30970,11,41,4,50,104,210
44007,1,18,2,21,29,71
48004,0,7,1,11,16,35
21349,598,3043,290,254,1218,5403
19747,35,199,33,94,266,627
42044,48,964,16,47,368,1443
24987,405,6004,251,207,1450,8317
10016,109,4293,51,59,1416,5928
45587,814,2969,165,670,1607,6225
40738,1542,7629,594,2131,10220,22116
32663,55,162,27,108,329,681
1582,100,1532,57,82,940,2711
36342,288,1531,162,133,4101,6215
3757,42,800,18,54,387,1301
2803,161,1267,159,210,1940,3737
37691,4,95,0,19,25,143
1943,7939,287804,3347,1717,143806,444613
42284,337,1456,53,111,620,2577
4514,58,1300,45,157,341,1901
35635,174,753,66,115,1066,2174
8815,43,871,37,116,340,1407
7303,177,4717,119,164,2297,7474
43542,0,8,1,5,10,24
1375,607,7325,501,494,5211,14138
23393,14,270,14,91,113,502
34997,39,201,12,40,244,536
4644,77,476,41,85,386,1065
37932,8142,42923,1765,1096,43683,97609
9421,23,268,3,23,206,523
34445,1428,17500,614,450,16222,36214
585,4109,212887,1678,617,68940,288231
1162,100,1702,81,92,1071,3046
36808,8,125,1,21,31,186
4615,59,523,60,139,510,1291
38219,44,50,20,47,454,615
1819,78,1259,51,68,1050,2506
7713,10,207,9,48,94,368
43341,0,17,1,7,8,33
38425,843,3106,278,273,5876,10376
40901,326,2044,108,80,2387,4945
1369,229,15658,131,139,2282,18439
25143,383,15565,149,230,5806,22133
40727,4,182,3,9,66,264
779,631,57886,222,249,3704,62692
10720,22,2018,9,28,361,2438
33884,15,151,2,31,79,278
29293,11,645,10,37,173,876
29979,21,1467,13,38,151,1690
38088,897,16635,316,262,15308,33418
28927,22816,551669,9458,8390,80634,672967
41117,5,32,4,29,53,123
49154,0,0,0,0,875,875
41854,67,199,12,32,347,657
31953,22590,228624,11482,13264,111117,387077
36197,63,391,35,86,1223,1798
27911,3065,18696,2011,3098,13083,39953
33011,686,4521,306,852,2470,8835
40246,148,2113,61,58,1798,4178
457,63728,263737,48518,22863,323134,721980
38093,4,55,1,38,36,134
27915,20,145,8,70,164,407
14583,208,2652,161,101,2083,5205
23861,15,108,7,66,170,366
49742,0,0,0,0,137,137
6131,223,378,316,764,705,2386
28689,7,62,12,70,72,223
3388,173,859,154,203,1434,2823
4205,191,8968,142,85,2438,11824
40321,100,573,102,82,3056,3913
38773,7,212,0,17,48,284
3602,112,2049,92,66,1778,4097
9533,16,77,8,61,113,275
40979,1933,8213,333,433,8559,19471
5529,142,8711,128,167,2292,11440
33708,36,536,21,76,290,959
12763,31,204,48,150,333,766
39125,3,25,1,33,32,94
40573,2,91,1,12,19,125
1161,321,2279,375,419,2587,5981
7216,22,178,12,57,181,450
6355,29,854,15,41,319,1258
6156,14,256,6,72,118,466
2891,423,9615,276,223,9902,20439
37722,8885,54103,3305,7065,31867,105225
15039,4777,171509,2764,1449,82949,263448
40100,878,3830,279,303,3971,9261
6687,19,79,18,54,223,393
20457,8070,76510,4330,4533,54660,148103
34908,5,266,5,23,62,361
34577,61697,788473,11869,15719,89624,967382
1734,504,7514,275,426,5010,13729
42272,2,86,4,9,38,139
35686,385,0,91,137,303,916
28811,62,455,36,76,744,1373
