character_id,people_id
1539,158
3221,158
12745,158
15734,158
31715,158
3284,158
2413,158
17532,158
79207,158
63457,158
5622,158
77,158
4475,158
6256,158
4869,158
92363,158
93777,12525
68465,12525
5109,12525
181761,12525
131957,40225
61917,10831
19257,10831
57883,10831
52927,10831
136033,10831
132435,40085
132435,40085
3165,7637
3165,7637
36307,7637
156027,7637
294,604
22509,604
5794,604
22509,604
294,604
294,604
5794,604
30895,604
15680,604
12319,604
5794,604
34485,604
294,604
294,604
294,604
22892,604
124225,33349
6172,33349
1807,33349
2731,33349
7365,33349
1807,33349
33453,33349
38244,33349
2782,56710
29456,56710
38089,56710
123507,56710
151143,55808
201379,55808
12677,55808
151143,55808
179559,55808
19485,55808
151143,55808
10586,55808
2932,55808
2654,55808
161149,55808
129777,55808
6780,55808
21658,55808
33780,55808
39790,55808
6780,55808
6780,55808
163800,53966
150105,7914
192877,7914
150105,7914
27956,7914
27956,7914
149924,7914
27956,7914
179383,7914
177682,7914
176611,7914
170950,7914
138032,7914
170606,7914
165894,7914
160634,7914
151497,7914
152355,7914
162015,7914
144630,7914
144320,7914
85985,7914
196936,7914
130797,7914
148381,7914
125415,7914
120067,7914
98449,7914
83213,7914
83621,7914
203614,7914
22539,7914
21888,7914
9932,7914
83273,7914
83621,7914
23554,7914
83621,7914
166121,7914
164251,7914
161068,7914
166859,7914
181173,7914
180540,7914
96169,7914
146053,45518
86165,11269
86165,11269
86165,11269
86165,11269
62245,11269
40964,11269
15583,11269
52361,6235
52361,6235
15186,6235
57227,6235
15178,6235
24466,6235
103315,6235
180132,6235
39266,6235
197034,6235
9102,1427
9102,1427
9102,1427
9102,1427
9102,1427
9102,1427
9102,1427
9102,1427
28839,1427
7813,1427
7813,1427
9102,1427
7813,1427
52687,1427
21537,1427
160238,1427
121561,1427
7813,1427
7813,1427
7813,1427
7813,1427
13331,1427
9340,1427
44171,1427
75646,1427
127103,1427
7813,1427
75646,1427
58439,1427
7813,1427
58439,1427
58439,1427
201623,1427
58439,1427
125898,1427
104393,1427
58439,1427
201073,1427
51435,1427
51317,1427
51019,1427
123993,1427
121077,1427
127666,1427
23257,1427
135133,1427
125741,1427
23257,1427
7813,1427
51535,1427
7813,1427
190302,56527
140000,56527
129015,56539
65093,56539
135494,56539
115453,26645
140501,26645
166776,26645
147375,26645
1122,26645
112941,26645
123355,26645
155236,26645
162355,26645
93343,26645
162355,26645
93343,26645
162321,26645
112941,26645
123355,26645
66809,26645
42808,26645
61169,26645
