anime_id,title,type,aired,premiered,studios,source,genres,rating,theme,anime_img_url
18525,Rin x Sen + Ran -> Sem: Cross Mix,OVA,"Jun 28, 2013 to Aug 30, 2013",,Suzuki Mirano,Visual novel,Hentai,Rx - Hentai,,https://cdn.myanimelist.net/images/anime/1125/119727.jpg
7176,Cheburashka Arere?,TV,"Oct 7, 2009 to Mar 31, 2010",Fall 2009,GoHands,Book,"Comedy, Slice of Life",G - All Ages,,https://cdn.myanimelist.net/images/anime/8/33145.jpg
33985,Bloodivores,TV,"Oct 1, 2016 to Dec 17, 2016",Fall 2016,"Creators in Pack, Namu Animation",Web manga,"Action, Supernatural",R - 17+ (violence & profanity),Vampire,https://cdn.myanimelist.net/images/anime/11/82233.jpg
12359,Pecola,TV,"Oct 6, 2002 to Mar 30, 2003",Fall 2002,"None found, add some",Unknown,,G - All Ages,,https://cdn.myanimelist.net/images/anime/5/34759.jpg
3428,Injuu vs. Onna Spy,OVA,"Mar 28, 1997",,"None found, add some",Unknown,"Horror, Hentai",Rx - Hentai,,https://cdn.myanimelist.net/images/anime/1484/113212.jpg
40301,Bomberman: Yuuki wo Arigatou - Watashi ga Mimi ni Naru,Movie,"Apr 13, 1995",,"None found, add some",Game,Drama,G - All Ages,Game,https://cdn.myanimelist.net/images/anime/1809/102768.jpg
15547,Cross Fight B-Daman eS,TV,"Oct 7, 2012 to Sep 29, 2013",Fall 2012,SynergySP,Unknown,,G - All Ages,Game,https://cdn.myanimelist.net/images/anime/2/42247.jpg
24455,Madan no Ou to Vanadis,TV,"Oct 4, 2014 to Dec 27, 2014",Fall 2014,Satelight,Light novel,"Adventure, Fantasy, Romance, Ecchi",R - 17+ (violence & profanity),Harem,https://cdn.myanimelist.net/images/anime/3/64911.jpg
29733,"Sayonara, Midori ga ike: Tobe! Tako Glider!!",OVA,"Mar 25, 2005",,"None found, add some",Unknown,Adventure,G - All Ages,,https://cdn.myanimelist.net/images/anime/8/71495.jpg
6219,Nijiiro Hotaru: Eien no Natsuyasumi,Movie,"May 19, 2012",,Toei Animation,Novel,"Fantasy, Romance, Slice of Life",G - All Ages,,https://cdn.myanimelist.net/images/anime/13/37541.jpg
3839,Himitsu no Akko-chan 3,TV,"Apr 5, 1998 to Feb 28, 1999",Spring 1998,Toei Animation,Unknown,,G - All Ages,School,https://cdn.myanimelist.net/images/anime/8/6843.jpg
934,Higurashi no Naku Koro ni,TV,"Apr 5, 2006 to Sep 27, 2006",Spring 2006,Studio Deen,Visual novel,"Horror, Mystery, Supernatural, Suspense",R - 17+ (violence & profanity),Psychological,https://cdn.myanimelist.net/images/anime/12/19634.jpg
36840,25-sai no Joshikousei,TV,"Jan 8, 2018 to Mar 26, 2018",Winter 2018,Lilix,Web manga,"Romance, Erotica",R+ - Mild Nudity,School,https://cdn.myanimelist.net/images/anime/12/89091.jpg
25897,Love Live! School Idol Project: μ's →NEXT LoveLive! 2014 - Endless Parade Makuai Drama,Special,"Jul 23, 2014",,Sunrise,Other,Comedy,PG-13 - Teens 13 or older,,https://cdn.myanimelist.net/images/anime/5/65611.jpg
2348,Shitai wo Arau The Animation,OVA,"Jun 27, 2003 to Jan 23, 2004",,ORADA COMPANY,Visual novel,Hentai,Rx - Hentai,,https://cdn.myanimelist.net/images/anime/4/7405.jpg
49470,Mamahaha no Tsurego ga Motokano datta,TV,2022 to ?,?,"None found, add some",Light novel,"Comedy, Romance",PG-13 - Teens 13 or older,,https://cdn.myanimelist.net/images/anime/1364/120704.jpg
29517,Kumi to Tulip,Movie,"Mar 22, 2015",,Tezuka Productions,Original,Sci-Fi,G - All Ages,,https://cdn.myanimelist.net/images/anime/6/72483.jpg
984,Dragon Ball Z: Saiya-jin Zetsumetsu Keikaku,OVA,"Jul 23, 1993",,Toei Animation,Manga,"Adventure, Comedy, Fantasy, Sci-Fi",PG-13 - Teens 13 or older,,https://cdn.myanimelist.net/images/anime/1021/116787.jpg
39151,Risu no Matoi,OVA,1974,,"None found, add some",Original,,G - All Ages,,https://cdn.myanimelist.net/images/anime/1242/98673.jpg
40403,Shin Sakura Taisen the Animation,TV,"Apr 3, 2020 to Jun 19, 2020",Spring 2020,SANZIGEN,Game,"Adventure, Sci-Fi",PG-13 - Teens 13 or older,Mecha,https://cdn.myanimelist.net/images/anime/1341/105735.jpg
15139,Tsuki no Miya no Oujo-sama,Movie,"Oct 25, 1934",,"None found, add some",Original,,G - All Ages,,https://cdn.myanimelist.net/images/anime/12/69033.jpg
9326,Yubisaki Annainin Shirudaku Settai Okawari Sanhaime,OVA,"Sep 17, 2010 to Dec 17, 2010",,Office No. 8,Visual novel,Hentai,Rx - Hentai,,https://cdn.myanimelist.net/images/anime/1337/119791.jpg
36226,Kai Feng Qitan: Zhege Baogong Bu Taixing,ONA,"May 19, 2017 to Jul 21, 2017",,Studio LAN,Manga,"Action, Comedy",PG-13 - Teens 13 or older,Historical,https://cdn.myanimelist.net/images/anime/7/87504.jpg
50710,Urusei Yatsura (2022),TV,2022 to ?,?,David Production,Manga,"Comedy, Romance, Sci-Fi",None,,https://cdn.myanimelist.net/images/anime/1558/120306.jpg
1457,Key the Metal Idol,OVA,"Dec 16, 1994 to Jun 18, 1997",,Studio Pierrot,Original,"Action, Drama, Sci-Fi",PG-13 - Teens 13 or older,,https://cdn.myanimelist.net/images/anime/5/11220.jpg
21009,Sekai de Ichiban Tsuyoku Naritai! Specials,Special,"Dec 12, 2013 to May 12, 2014",,Arms,Unknown,"Action, Sports, Ecchi",R+ - Mild Nudity,,https://cdn.myanimelist.net/images/anime/7/55775.jpg
20725,"Lies, Lies.",Music,"Oct 27, 2010",,"None found, add some",Unknown,,G - All Ages,Music,https://cdn.myanimelist.net/images/anime/10/54851.jpg
43634,Ying,Movie,1988,,"None found, add some",Original,,G - All Ages,,https://cdn.myanimelist.net/images/anime/1979/118501.jpg
