anime_id,score,rating_count,ranked,popularity,members,favorites
1568,6.87,21461,,2310,60554,81
16508,5.98,1763,,7557,4402,1
39410,N/A,,,15208,283,3
37509,5.55,5236,,3824,23375,38
3515,7.57,23104,,3033,37089,101
24793,5.83,210,,12485,658,2
30617,5.69,456,,7422,4605,1
637,6.59,8621,,4332,17666,25
746,5.93,27593,,2665,46990,122
24641,7.38,15545,,3209,33485,384
36158,5.01,218,,13979,386,1
33723,N/A,,,12687,609,0
31575,N/A,,,14158,369,2
48417,N/A,,,1739,106624,941
962,8.18,25624,,2098,71076,755
45535,N/A,,,18709,40,0
33885,5.74,225,,13889,397,0
1259,7.21,12690,,3967,21651,55
43636,N/A,,,19220,24,0
1766,5.67,1033,,8923,2642,2
15895,6.71,11188,,3584,26901,22
49599,N/A,,,8462,4479,7
6864,8.21,29291,,2261,62968,175
36116,5.42,115,,15602,254,0
36094,7.67,14793,,2437,55557,307
42193,N/A,,,18129,103,0
7031,4.65,601,,11155,1081,1
10564,N/A,,,14414,346,1
5996,6.84,2865,,6463,6495,6
20907,6.36,2116,,7554,4398,0
2260,6.14,589,,9639,1988,2
10740,6.60,24070,,2856,41129,11
38538,N/A,,,17237,154,0
3679,6.62,2931,,5725,8799,27
40636,N/A,,,14290,366,2
30048,N/A,,,16794,178,0
8539,6.14,169,,11072,1123,5
168,7.37,35147,,1996,76934,621
42074,6.50,108,,13090,543,1
15489,6.84,17039,,3180,34046,194
3004,6.26,1185,,8107,3595,6
5784,6.59,14165,,3332,30963,101
11743,7.45,61432,,1460,118366,176
44087,8.49,20615,,2659,50695,201
30395,5.16,127,,15318,272,0
8415,N/A,,,13211,499,1
51128,N/A,,,19284,388,1
3303,6.20,899,,8973,2585,7
41636,N/A,,,14312,405,0
45830,N/A,,,18879,30,0
9361,5.62,967,,10190,1623,3
21835,6.64,2275,,5619,9135,27
4208,6.69,559,,9901,1810,8
41279,5.71,110,,16352,214,0
1184,7.01,5759,,4596,15216,46
33421,6.81,50495,,1074,170441,369
3946,7.03,1438,,8121,3583,7
6061,5.13,727,,8771,2789,8
18959,6.27,2592,,6580,6219,16
25543,6.11,504,,9935,1788,4
13153,6.30,662,,11085,1115,0
3518,6.20,1158,,8824,2731,7
50953,N/A,,,19344,3375,9
38096,5.70,210,,12753,593,0
3812,6.30,287,,12088,754,2
37587,6.65,12165,,3003,37786,113
26335,N/A,,,15948,230,1
49210,N/A,,,11203,1214,1
4714,6.32,2825,,6346,6797,90
39466,6.37,1733,,7306,4798,11
37018,N/A,,,16833,178,0
45522,N/A,,,18702,42,0
3646,6.60,621,,9393,2186,1
